Country,Continent,Year,Population,GPD per capita,"Life expectancy at birth, total (years)"
Gabon,Africa,1982,753874,15113.36194,56.564
Gabon,Africa,1987,880397,11864.40844,60.19
Gabon,Africa,1992,985739,13522.15752,61.366
Gabon,Africa,1997,1126189,14722.84188,60.461
Gabon,Africa,2002,1299304,12521.71392,56.761
Gabon,Africa,2007,1454867,13206.48452,56.735
Gambia,Africa,1952,284320,485.2306591,30
Gambia,Africa,1957,323150,520.9267111,32.065
Gambia,Africa,1962,374020,599.650276,33.896
Gambia,Africa,1967,439593,734.7829124,35.857
Gambia,Africa,1972,517101,756.0868363,38.308
Gambia,Africa,1977,608274,884.7552507,41.842
Gambia,Africa,1982,715523,835.8096108,45.58
Gambia,Africa,1987,848406,611.6588611,49.265
Gambia,Africa,1992,1025384,665.6244126,52.644
Gambia,Africa,1997,1235767,653.7301704,55.861
Gambia,Africa,2002,1457766,660.5855997,58.041
Gambia,Africa,2007,1688359,752.7497265,59.448
Germany,Europe,1952,69145952,7144.114393,67.5
Germany,Europe,1957,71019069,10187.82665,69.1
Germany,Europe,1962,73739117,12902.46291,70.3
Germany,Europe,1967,76368453,14745.62561,70.8
Germany,Europe,1972,78717088,18016.18027,71
Germany,Europe,1977,78160773,20512.92123,72.5
Germany,Europe,1982,78335266,22031.53274,73.8
Germany,Europe,1987,77718298,24639.18566,74.847
Germany,Europe,1992,80597764,26505.30317,76.07
Germany,Europe,1997,82011073,27788.88416,77.34
Germany,Europe,2002,82350671,30035.80198,78.67
Germany,Europe,2007,82400996,32170.37442,79.406
Ghana,Africa,1952,5581001,911.2989371,43.149
Ghana,Africa,1957,6391288,1043.561537,44.779
Ghana,Africa,1962,7355248,1190.041118,46.452
Ghana,Africa,1967,8490213,1125.69716,48.072
Ghana,Africa,1972,9354120,1178.223708,49.875
Ghana,Africa,1977,10538093,993.2239571,51.756
Ghana,Africa,1982,11400338,876.032569,53.744
Ghana,Africa,1987,14168101,847.0061135,55.729
Ghana,Africa,1992,16278738,925.060154,57.501
Ghana,Africa,1997,18418288,1005.245812,58.556
Ghana,Africa,2002,20550751,1111.984578,58.453
Ghana,Africa,2007,22873338,1327.60891,60.022
Greece,Europe,1952,7733250,3530.690067,65.86
Greece,Europe,1957,8096218,4916.299889,67.86
Greece,Europe,1962,8448233,6017.190733,69.51
Greece,Europe,1967,8716441,8513.097016,71
Greece,Europe,1972,8888628,12724.82957,72.34
Greece,Europe,1977,9308479,14195.52428,73.68
Greece,Europe,1982,9786480,15268.42089,75.24
Greece,Europe,1987,9974490,16120.52839,76.67
Greece,Europe,1992,10325429,17541.49634,77.03
Greece,Europe,1997,10502372,18747.69814,77.869
Greece,Europe,2002,10603863,22514.2548,78.256
Greece,Europe,2007,10706290,27538.41188,79.483
Guatemala,Americas,1952,3146381,2428.237769,42.023
Guatemala,Americas,1957,3640876,2617.155967,44.142
Guatemala,Americas,1962,4208858,2750.364446,46.954
Guatemala,Americas,1967,4690773,3242.531147,50.016
Guatemala,Americas,1972,5149581,4031.408271,53.738
Guatemala,Americas,1977,5703430,4879.992748,56.029
Guatemala,Americas,1982,6395630,4820.49479,58.137
Guatemala,Americas,1987,7326406,4246.485974,60.782
Guatemala,Americas,1992,8486949,4439.45084,63.373
Guatemala,Americas,1997,9803875,4684.313807,66.322
Guatemala,Americas,2002,11178650,4858.347495,68.978
Guatemala,Americas,2007,12572928,5186.050003,70.259
Guinea,Africa,1952,2664249,510.1964923,33.609
Guinea,Africa,1957,2876726,576.2670245,34.558
Guinea,Africa,1962,3140003,686.3736739,35.753
Guinea,Africa,1967,3451418,708.7595409,37.197
Guinea,Africa,1972,3811387,741.6662307,38.842
Guinea,Africa,1977,4227026,874.6858643,40.762
Guinea,Africa,1982,4710497,857.2503577,42.891
Guinea,Africa,1987,5650262,805.5724718,45.552
Guinea,Africa,1992,6990574,794.3484384,48.576
Guinea,Africa,1997,8048834,869.4497668,51.455
Guinea,Africa,2002,8807818,945.5835837,53.676
Guinea,Africa,2007,9947814,942.6542111,56.007
Guinea-Bissau,Africa,1952,580653,299.850319,32.5
Guinea-Bissau,Africa,1957,601095,431.7904566,33.489
Guinea-Bissau,Africa,1962,627820,522.0343725,34.488
Guinea-Bissau,Africa,1967,601287,715.5806402,35.492
Guinea-Bissau,Africa,1972,625361,820.2245876,36.486
Guinea-Bissau,Africa,1977,745228,764.7259628,37.465
Guinea-Bissau,Africa,1982,825987,838.1239671,39.327
Guinea-Bissau,Africa,1987,927524,736.4153921,41.245
Guinea-Bissau,Africa,1992,1050938,745.5398706,43.266
Guinea-Bissau,Africa,1997,1193708,796.6644681,44.873
Guinea-Bissau,Africa,2002,1332459,575.7047176,45.504
Guinea-Bissau,Africa,2007,1472041,579.231743,46.388
Haiti,Americas,1952,3201488,1840.366939,37.579
Haiti,Americas,1957,3507701,1726.887882,40.696
Haiti,Americas,1962,3880130,1796.589032,43.59
Haiti,Americas,1967,4318137,1452.057666,46.243
Haiti,Americas,1972,4698301,1654.456946,48.042
Haiti,Americas,1977,4908554,1874.298931,49.923
Haiti,Americas,1982,5198399,2011.159549,51.461
Haiti,Americas,1987,5756203,1823.015995,53.636
Haiti,Americas,1992,6326682,1456.309517,55.089
Haiti,Americas,1997,6913545,1341.726931,56.671
Haiti,Americas,2002,7607651,1270.364932,58.137
Haiti,Americas,2007,8502814,1201.637154,60.916
Honduras,Americas,1952,1517453,2194.926204,41.912
Honduras,Americas,1957,1770390,2220.487682,44.665
Honduras,Americas,1962,2090162,2291.156835,48.041
Honduras,Americas,1967,2500689,2538.269358,50.924
Honduras,Americas,1972,2965146,2529.842345,53.884
Honduras,Americas,1977,3055235,3203.208066,57.402
Honduras,Americas,1982,3669448,3121.760794,60.909
Honduras,Americas,1987,4372203,3023.096699,64.492
Honduras,Americas,1992,5077347,3081.694603,66.399
Honduras,Americas,1997,5867957,3160.454906,67.659
Honduras,Americas,2002,6677328,3099.72866,68.565
Honduras,Americas,2007,7483763,3548.330846,70.198
Hong Kong,Asia,1952,2125900,3054.421209,60.96
Hong Kong,Asia,1957,2736300,3629.076457,64.75
Hong Kong,Asia,1962,3305200,4692.648272,67.65
Hong Kong,Asia,1967,3722800,6197.962814,70
Hong Kong,Asia,1972,4115700,8315.928145,72
Hong Kong,Asia,1977,4583700,11186.14125,73.6
Hong Kong,Asia,1982,5264500,14560.53051,75.45
Hong Kong,Asia,1987,5584510,20038.47269,76.2
Hong Kong,Asia,1992,5829696,24757.60301,77.601
Hong Kong,Asia,1997,6495918,28377.63219,80
Hong Kong,Asia,2002,6762476,30209.01516,81.495
Hong Kong,Asia,2007,6980412,39724.97867,82.208
Hungary,Europe,1952,9504000,5263.673816,64.03
Hungary,Europe,1957,9839000,6040.180011,66.41
Hungary,Europe,1962,10063000,7550.359877,67.96
Hungary,Europe,1967,10223422,9326.64467,69.5
Hungary,Europe,1972,10394091,10168.65611,69.76
Hungary,Europe,1977,10637171,11674.83737,69.95
Hungary,Europe,1982,10705535,12545.99066,69.39
Hungary,Europe,1987,10612740,12986.47998,69.58
Hungary,Europe,1992,10348684,10535.62855,69.17
Hungary,Europe,1997,10244684,11712.7768,71.04
Hungary,Europe,2002,10083313,14843.93556,72.59
Hungary,Europe,2007,9956108,18008.94444,73.338
Iceland,Europe,1952,147962,7267.688428,72.49
Iceland,Europe,1957,165110,9244.001412,73.47
Iceland,Europe,1962,182053,10350.15906,73.68
Iceland,Europe,1967,198676,13319.89568,73.73
Iceland,Europe,1972,209275,15798.06362,74.46
Iceland,Europe,1977,221823,19654.96247,76.11
Iceland,Europe,1982,233997,23269.6075,76.99
Iceland,Europe,1987,244676,26923.20628,77.23
Iceland,Europe,1992,259012,25144.39201,78.77
Iceland,Europe,1997,271192,28061.09966,78.95
Iceland,Europe,2002,288030,31163.20196,80.5
Iceland,Europe,2007,301931,36180.78919,81.757
India,Asia,1952,372000000,546.5657493,37.373
India,Asia,1957,409000000,590.061996,40.249
India,Asia,1962,454000000,658.3471509,43.605
India,Asia,1967,506000000,700.7706107,47.193
India,Asia,1972,567000000,724.032527,50.651
India,Asia,1977,634000000,813.337323,54.208
India,Asia,1982,708000000,855.7235377,56.596
India,Asia,1987,788000000,976.5126756,58.553
India,Asia,1992,872000000,1164.406809,60.223
India,Asia,1997,959000000,1458.817442,61.765
India,Asia,2002,1034172547,1746.769454,62.879
India,Asia,2007,1110396331,2452.210407,64.698
Indonesia,Asia,1952,82052000,749.6816546,37.468
Indonesia,Asia,1957,90124000,858.9002707,39.918
Indonesia,Asia,1962,99028000,849.2897701,42.518
Indonesia,Asia,1967,109343000,762.4317721,45.964
Indonesia,Asia,1972,121282000,1111.107907,49.203
Indonesia,Asia,1977,136725000,1382.702056,52.702
Indonesia,Asia,1982,153343000,1516.872988,56.159
Indonesia,Asia,1987,169276000,1748.356961,60.137
Indonesia,Asia,1992,184816000,2383.140898,62.681
Indonesia,Asia,1997,199278000,3119.335603,66.041
Indonesia,Asia,2002,211060000,2873.91287,68.588
Indonesia,Asia,2007,223547000,3540.651564,70.65
Iran,Asia,1952,17272000,3035.326002,44.869
Iran,Asia,1957,19792000,3290.257643,47.181
Iran,Asia,1962,22874000,4187.329802,49.325
Iran,Asia,1967,26538000,5906.731805,52.469
Iran,Asia,1972,30614000,9613.818607,55.234
Iran,Asia,1977,35480679,11888.59508,57.702
Iran,Asia,1982,43072751,7608.334602,59.62
Iran,Asia,1987,51889696,6642.881371,63.04
Iran,Asia,1992,60397973,7235.653188,65.742
Iran,Asia,1997,63327987,8263.590301,68.042
Iran,Asia,2002,66907826,9240.761975,69.451
Iran,Asia,2007,69453570,11605.71449,70.964
Iraq,Asia,1952,5441766,4129.766056,45.32
Iraq,Asia,1957,6248643,6229.333562,48.437
Iraq,Asia,1962,7240260,8341.737815,51.457
Iraq,Asia,1967,8519282,8931.459811,54.459
Iraq,Asia,1972,10061506,9576.037596,56.95
Iraq,Asia,1977,11882916,14688.23507,60.413
Iraq,Asia,1982,14173318,14517.90711,62.038
Iraq,Asia,1987,16543189,11643.57268,65.044
Iraq,Asia,1992,17861905,3745.640687,59.461
Iraq,Asia,1997,20775703,3076.239795,58.811
Iraq,Asia,2002,24001816,4390.717312,57.046
Iraq,Asia,2007,27499638,4471.061906,59.545
Ireland,Europe,1952,2952156,5210.280328,66.91
Ireland,Europe,1957,2878220,5599.077872,68.9
Ireland,Europe,1962,2830000,6631.597314,70.29
Ireland,Europe,1967,2900100,7655.568963,71.08
Ireland,Europe,1972,3024400,9530.772896,71.28
Ireland,Europe,1977,3271900,11150.98113,72.03
Ireland,Europe,1982,3480000,12618.32141,73.1
Ireland,Europe,1987,3539900,13872.86652,74.36
Ireland,Europe,1992,3557761,17558.81555,75.467
Ireland,Europe,1997,3667233,24521.94713,76.122
Ireland,Europe,2002,3879155,34077.04939,77.783
Ireland,Europe,2007,4109086,40675.99635,78.885
Israel,Asia,1952,1620914,4086.522128,65.39
Israel,Asia,1957,1944401,5385.278451,67.84
Israel,Asia,1962,2310904,7105.630706,69.39
Israel,Asia,1967,2693585,8393.741404,70.75
Israel,Asia,1972,3095893,12786.93223,71.63
Israel,Asia,1977,3495918,13306.61921,73.06
Israel,Asia,1982,3858421,15367.0292,74.45
Israel,Asia,1987,4203148,17122.47986,75.6
Israel,Asia,1992,4936550,18051.52254,76.93
Israel,Asia,1997,5531387,20896.60924,78.269
Israel,Asia,2002,6029529,21905.59514,79.696
Israel,Asia,2007,6426679,25523.2771,80.745
Italy,Europe,1952,47666000,4931.404155,65.94
Italy,Europe,1957,49182000,6248.656232,67.81
Italy,Europe,1962,50843200,8243.58234,69.24
Italy,Europe,1967,52667100,10022.40131,71.06
Italy,Europe,1972,54365564,12269.27378,72.19
Italy,Europe,1977,56059245,14255.98475,73.48
Italy,Europe,1982,56535636,16537.4835,74.98
Italy,Europe,1987,56729703,19207.23482,76.42
Italy,Europe,1992,56840847,22013.64486,77.44
Italy,Europe,1997,57479469,24675.02446,78.82
Italy,Europe,2002,57926999,27968.09817,80.24
Italy,Europe,2007,58147733,28569.7197,80.546
Ivory Coast,Africa,1952,2977019,1388.594732,40.477
Ivory Coast,Africa,1957,3300000,1500.895925,42.469
Ivory Coast,Africa,1962,3832408,1728.869428,44.93
Ivory Coast,Africa,1967,4744870,2052.050473,47.35
Ivory Coast,Africa,1972,6071696,2378.201111,49.801
Ivory Coast,Africa,1977,7459574,2517.736547,52.374
Ivory Coast,Africa,1982,9025951,2602.710169,53.983
Ivory Coast,Africa,1987,10761098,2156.956069,54.655
Ivory Coast,Africa,1992,12772596,1648.073791,52.044
Ivory Coast,Africa,1997,14625967,1786.265407,47.991
Ivory Coast,Africa,2002,16252726,1648.800823,46.832
Ivory Coast,Africa,2007,18013409,1544.750112,48.328
Jamaica,Americas,1952,1426095,2898.530881,58.53
Jamaica,Americas,1957,1535090,4756.525781,62.61
Jamaica,Americas,1962,1665128,5246.107524,65.61
Jamaica,Americas,1967,1861096,6124.703451,67.51
Jamaica,Americas,1972,1997616,7433.889293,69
Jamaica,Americas,1977,2156814,6650.195573,70.11
Jamaica,Americas,1982,2298309,6068.05135,71.21
Jamaica,Americas,1987,2326606,6351.237495,71.77
Jamaica,Americas,1992,2378618,7404.923685,71.766
Jamaica,Americas,1997,2531311,7121.924704,72.262
Jamaica,Americas,2002,2664659,6994.774861,72.047
Jamaica,Americas,2007,2780132,7320.880262,72.567
Japan,Asia,1952,86459025,3216.956347,63.03
Japan,Asia,1957,91563009,4317.694365,65.5
Japan,Asia,1962,95831757,6576.649461,68.73
Japan,Asia,1967,100825279,9847.788607,71.43
Japan,Asia,1972,107188273,14778.78636,73.42
Japan,Asia,1977,113872473,16610.37701,75.38
Japan,Asia,1982,118454974,19384.10571,77.11
Japan,Asia,1987,122091325,22375.94189,78.67
Japan,Asia,1992,124329269,26824.89511,79.36
Japan,Asia,1997,125956499,28816.58499,80.69
Japan,Asia,2002,127065841,28604.5919,82
Japan,Asia,2007,127467972,31656.06806,82.603
Jordan,Asia,1952,607914,1546.907807,43.158
Jordan,Asia,1957,746559,1886.080591,45.669
Jordan,Asia,1962,933559,2348.009158,48.126
Jordan,Asia,1967,1255058,2741.796252,51.629
Jordan,Asia,1972,1613551,2110.856309,56.528
Jordan,Asia,1977,1937652,2852.351568,61.134
Jordan,Asia,1982,2347031,4161.415959,63.739
Jordan,Asia,1987,2820042,4448.679912,65.869
Jordan,Asia,1992,3867409,3431.593647,68.015
Jordan,Asia,1997,4526235,3645.379572,69.772
Jordan,Asia,2002,5307470,3844.917194,71.263
Jordan,Asia,2007,6053193,4519.461171,72.535
Kenya,Africa,1952,6464046,853.540919,42.27
Kenya,Africa,1957,7454779,944.4383152,44.686
Kenya,Africa,1962,8678557,896.9663732,47.949
Kenya,Africa,1967,10191512,1056.736457,50.654
Kenya,Africa,1972,12044785,1222.359968,53.559
Kenya,Africa,1977,14500404,1267.613204,56.155
Kenya,Africa,1982,17661452,1348.225791,58.766
Kenya,Africa,1987,21198082,1361.936856,59.339
Kenya,Africa,1992,25020539,1341.921721,59.285
Kenya,Africa,1997,28263827,1360.485021,54.407
Kenya,Africa,2002,31386842,1287.514732,50.992
Kenya,Africa,2007,35610177,1463.249282,54.11
Kuwait,Asia,1952,160000,108382.3529,55.565
Kuwait,Asia,1957,212846,113523.1329,58.033
Kuwait,Asia,1962,358266,95458.11176,60.47
Kuwait,Asia,1967,575003,80894.88326,64.624
Kuwait,Asia,1972,841934,109347.867,67.712
Kuwait,Asia,1977,1140357,59265.47714,69.343
Kuwait,Asia,1982,1497494,31354.03573,71.309
Kuwait,Asia,1987,1891487,28118.42998,74.174
Kuwait,Asia,1992,1418095,34932.91959,75.19
Kuwait,Asia,1997,1765345,40300.61996,76.156
Kuwait,Asia,2002,2111561,35110.10566,76.904
Kuwait,Asia,2007,2505559,47306.98978,77.588
Lebanon,Asia,1952,1439529,4834.804067,55.928
Lebanon,Asia,1957,1647412,6089.786934,59.489
Lebanon,Asia,1962,1886848,5714.560611,62.094
Lebanon,Asia,1967,2186894,6006.983042,63.87
Lebanon,Asia,1972,2680018,7486.384341,65.421
Lebanon,Asia,1977,3115787,8659.696836,66.099
Lebanon,Asia,1982,3086876,7640.519521,66.983
Lebanon,Asia,1987,3089353,5377.091329,67.926
Lebanon,Asia,1992,3219994,6890.806854,69.292
Lebanon,Asia,1997,3430388,8754.96385,70.265
Lebanon,Asia,2002,3677780,9313.93883,71.028
Lebanon,Asia,2007,3921278,10461.05868,71.993
Lesotho,Africa,1952,748747,298.8462121,42.138
Lesotho,Africa,1957,813338,335.9971151,45.047
Lesotho,Africa,1962,893143,411.8006266,47.747
Lesotho,Africa,1967,996380,498.6390265,48.492
Lesotho,Africa,1972,1116779,496.5815922,49.767
Lesotho,Africa,1977,1251524,745.3695408,52.208
Lesotho,Africa,1982,1411807,797.2631074,55.078
Lesotho,Africa,1987,1599200,773.9932141,57.18
Lesotho,Africa,1992,1803195,977.4862725,59.685
Lesotho,Africa,1997,1982823,1186.147994,55.558
Lesotho,Africa,2002,2046772,1275.184575,44.593
Lesotho,Africa,2007,2012649,1569.331442,42.592
Liberia,Africa,1952,863308,575.5729961,38.48
Liberia,Africa,1957,975950,620.9699901,39.486
Liberia,Africa,1962,1112796,634.1951625,40.502
Liberia,Africa,1967,1279406,713.6036483,41.536
Liberia,Africa,1972,1482628,803.0054535,42.614
Liberia,Africa,1977,1703617,640.3224383,43.764
Liberia,Africa,1982,1956875,572.1995694,44.852
Liberia,Africa,1987,2269414,506.1138573,46.027
Liberia,Africa,1992,1912974,636.6229191,40.802
Liberia,Africa,1997,2200725,609.1739508,42.221
Liberia,Africa,2002,2814651,531.4823679,43.753
Liberia,Africa,2007,3193942,414.5073415,45.678
Libya,Africa,1952,1019729,2387.54806,42.723
Libya,Africa,1957,1201578,3448.284395,45.289
Libya,Africa,1962,1441863,6757.030816,47.808
Libya,Africa,1967,1759224,18772.75169,50.227
Libya,Africa,1972,2183877,21011.49721,52.773
Libya,Africa,1977,2721783,21951.21176,57.442
Libya,Africa,1982,3344074,17364.27538,62.155
Libya,Africa,1987,3799845,11770.5898,66.234
Libya,Africa,1992,4364501,9640.138501,68.755
Libya,Africa,1997,4759670,9467.446056,71.555
Libya,Africa,2002,5368585,9534.677467,72.737
Libya,Africa,2007,6036914,12057.49928,73.952
Madagascar,Africa,1952,4762912,1443.011715,36.681
Madagascar,Africa,1957,5181679,1589.20275,38.865
Madagascar,Africa,1962,5703324,1643.38711,40.848
Madagascar,Africa,1967,6334556,1634.047282,42.881
Madagascar,Africa,1972,7082430,1748.562982,44.851
Madagascar,Africa,1977,8007166,1544.228586,46.881
Madagascar,Africa,1982,9171477,1302.878658,48.969
Madagascar,Africa,1987,10568642,1155.441948,49.35
Madagascar,Africa,1992,12210395,1040.67619,52.214
Madagascar,Africa,1997,14165114,986.2958956,54.978
Madagascar,Africa,2002,16473477,894.6370822,57.286
Madagascar,Africa,2007,19167654,1044.770126,59.443
Malawi,Africa,1952,2917802,369.1650802,36.256
Malawi,Africa,1957,3221238,416.3698064,37.207
Malawi,Africa,1962,3628608,427.9010856,38.41
Malawi,Africa,1967,4147252,495.5147806,39.487
Malawi,Africa,1972,4730997,584.6219709,41.766
Malawi,Africa,1977,5637246,663.2236766,43.767
Malawi,Africa,1982,6502825,632.8039209,45.642
Malawi,Africa,1987,7824747,635.5173634,47.457
Malawi,Africa,1992,10014249,563.2000145,49.42
Malawi,Africa,1997,10419991,692.2758103,47.495
Malawi,Africa,2002,11824495,665.4231186,45.009
Malawi,Africa,2007,13327079,759.3499101,48.303
Malaysia,Asia,1952,6748378,1831.132894,48.463
Malaysia,Asia,1957,7739235,1810.066992,52.102
Malaysia,Asia,1962,8906385,2036.884944,55.737
Malaysia,Asia,1967,10154878,2277.742396,59.371
Malaysia,Asia,1972,11441462,2849.09478,63.01
Malaysia,Asia,1977,12845381,3827.921571,65.256
Malaysia,Asia,1982,14441916,4920.355951,68
Malaysia,Asia,1987,16331785,5249.802653,69.5
Malaysia,Asia,1992,18319502,7277.912802,70.693
Malaysia,Asia,1997,20476091,10132.90964,71.938
Malaysia,Asia,2002,22662365,10206.97794,73.044
Malaysia,Asia,2007,24821286,12451.6558,74.241
Mali,Africa,1952,3838168,452.3369807,33.685
Mali,Africa,1957,4241884,490.3821867,35.307
Mali,Africa,1962,4690372,496.1743428,36.936
Mali,Africa,1967,5212416,545.0098873,38.487
Mali,Africa,1972,5828158,581.3688761,39.977
Mali,Africa,1977,6491649,686.3952693,41.714
Mali,Africa,1982,6998256,618.0140641,43.916
Mali,Africa,1987,7634008,684.1715576,46.364
Mali,Africa,1992,8416215,739.014375,48.388
Mali,Africa,1997,9384984,790.2579846,49.903
Mali,Africa,2002,10580176,951.4097518,51.818
Mali,Africa,2007,12031795,1042.581557,54.467
Mauritania,Africa,1952,1022556,743.1159097,40.543
Mauritania,Africa,1957,1076852,846.1202613,42.338
Mauritania,Africa,1962,1146757,1055.896036,44.248
Mauritania,Africa,1967,1230542,1421.145193,46.289
Mauritania,Africa,1972,1332786,1586.851781,48.437
Mauritania,Africa,1977,1456688,1497.492223,50.852
Mauritania,Africa,1982,1622136,1481.150189,53.599
Mauritania,Africa,1987,1841240,1421.603576,56.145
Mauritania,Africa,1992,2119465,1361.369784,58.333
Mauritania,Africa,1997,2444741,1483.136136,60.43
Mauritania,Africa,2002,2828858,1579.019543,62.247
Mauritania,Africa,2007,3270065,1803.151496,64.164
Mauritius,Africa,1952,516556,1967.955707,50.986
Mauritius,Africa,1957,609816,2034.037981,58.089
Mauritius,Africa,1962,701016,2529.067487,60.246
Mauritius,Africa,1967,789309,2475.387562,61.557
Mauritius,Africa,1972,851334,2575.484158,62.944
Mauritius,Africa,1977,913025,3710.982963,64.93
Mauritius,Africa,1982,992040,3688.037739,66.711
Mauritius,Africa,1987,1042663,4783.586903,68.74
Mauritius,Africa,1992,1096202,6058.253846,69.745
Mauritius,Africa,1997,1149818,7425.705295,70.736
Mauritius,Africa,2002,1200206,9021.815894,71.954
Mauritius,Africa,2007,1250882,10956.99112,72.801
Mexico,Americas,1952,30144317,3478.125529,50.789
Mexico,Americas,1957,35015548,4131.546641,55.19
Mexico,Americas,1962,41121485,4581.609385,58.299
Mexico,Americas,1967,47995559,5754.733883,60.11
Mexico,Americas,1972,55984294,6809.40669,62.361
Mexico,Americas,1977,63759976,7674.929108,65.032
Mexico,Americas,1982,71640904,9611.147541,67.405
Mexico,Americas,1987,80122492,8688.156003,69.498
Mexico,Americas,1992,88111030,9472.384295,71.455
Mexico,Americas,1997,95895146,9767.29753,73.67
Mexico,Americas,2002,102479927,10742.44053,74.902
Mexico,Americas,2007,108700891,11977.57496,76.195
Mongolia,Asia,1952,800663,786.5668575,42.244
Mongolia,Asia,1957,882134,912.6626085,45.248
Mongolia,Asia,1962,1010280,1056.353958,48.251
Mongolia,Asia,1967,1149500,1226.04113,51.253
Mongolia,Asia,1972,1320500,1421.741975,53.754
Mongolia,Asia,1977,1528000,1647.511665,55.491
Mongolia,Asia,1982,1756032,2000.603139,57.489
Mongolia,Asia,1987,2015133,2338.008304,60.222
Mongolia,Asia,1992,2312802,1785.402016,61.271
Mongolia,Asia,1997,2494803,1902.2521,63.625
Mongolia,Asia,2002,2674234,2140.739323,65.033
Mongolia,Asia,2007,2874127,3095.772271,66.803
Montenegro,Europe,1952,413834,2647.585601,59.164
Montenegro,Europe,1957,442829,3682.259903,61.448
Montenegro,Europe,1962,474528,4649.593785,63.728
Montenegro,Europe,1967,501035,5907.850937,67.178
Montenegro,Europe,1972,527678,7778.414017,70.636
Montenegro,Europe,1977,560073,9595.929905,73.066
Montenegro,Europe,1982,562548,11222.58762,74.101
Montenegro,Europe,1987,569473,11732.51017,74.865
Montenegro,Europe,1992,621621,7003.339037,75.435
Montenegro,Europe,1997,692651,6465.613349,75.445
Montenegro,Europe,2002,720230,6557.194282,73.981
Montenegro,Europe,2007,684736,9253.896111,74.543
Morocco,Africa,1952,9939217,1688.20357,42.873
Morocco,Africa,1957,11406350,1642.002314,45.423
Morocco,Africa,1962,13056604,1566.353493,47.924
Morocco,Africa,1967,14770296,1711.04477,50.335
Morocco,Africa,1972,16660670,1930.194975,52.862
Morocco,Africa,1977,18396941,2370.619976,55.73
Morocco,Africa,1982,20198730,2702.620356,59.65
Morocco,Africa,1987,22987397,2755.046991,62.677
Morocco,Africa,1992,25798239,2948.047252,65.393
Morocco,Africa,1997,28529501,2982.101858,67.66
Morocco,Africa,2002,31167783,3258.495584,69.615
Morocco,Africa,2007,33757175,3820.17523,71.164
Mozambique,Africa,1952,6446316,468.5260381,31.286
Mozambique,Africa,1957,7038035,495.5868333,33.779
Mozambique,Africa,1962,7788944,556.6863539,36.161
Mozambique,Africa,1967,8680909,566.6691539,38.113
Mozambique,Africa,1972,9809596,724.9178037,40.328
Mozambique,Africa,1977,11127868,502.3197334,42.495
Mozambique,Africa,1982,12587223,462.2114149,42.795
Mozambique,Africa,1987,12891952,389.8761846,42.861
Mozambique,Africa,1992,13160731,410.8968239,44.284
Mozambique,Africa,1997,16603334,472.3460771,46.344
Mozambique,Africa,2002,18473780,633.6179466,44.026
Mozambique,Africa,2007,19951656,823.6856205,42.082
Myanmar,Asia,1952,20092996,331,36.319
Myanmar,Asia,1957,21731844,350,41.905
Myanmar,Asia,1962,23634436,388,45.108
Myanmar,Asia,1967,25870271,349,49.379
Myanmar,Asia,1972,28466390,357,53.07
Myanmar,Asia,1977,31528087,371,56.059
Myanmar,Asia,1982,34680442,424,58.056
Myanmar,Asia,1987,38028578,385,58.339
Myanmar,Asia,1992,40546538,347,59.32
Myanmar,Asia,1997,43247867,415,60.328
Myanmar,Asia,2002,45598081,611,59.908
Myanmar,Asia,2007,47761980,944,62.069
Namibia,Africa,1952,485831,2423.780443,41.725
Namibia,Africa,1957,548080,2621.448058,45.226
Namibia,Africa,1962,621392,3173.215595,48.386
Namibia,Africa,1967,706640,3793.694753,51.159
Namibia,Africa,1972,821782,3746.080948,53.867
Namibia,Africa,1977,977026,3876.485958,56.437
Namibia,Africa,1982,1099010,4191.100511,58.968
Namibia,Africa,1987,1278184,3693.731337,60.835
Namibia,Africa,1992,1554253,3804.537999,61.999
Namibia,Africa,1997,1774766,3899.52426,58.909
Namibia,Africa,2002,1972153,4072.324751,51.479
Namibia,Africa,2007,2055080,4811.060429,52.906
Nepal,Asia,1952,9182536,545.8657229,36.157
Nepal,Asia,1957,9682338,597.9363558,37.686
Nepal,Asia,1962,10332057,652.3968593,39.393
Nepal,Asia,1967,11261690,676.4422254,41.472
Nepal,Asia,1972,12412593,674.7881296,43.971
Nepal,Asia,1977,13933198,694.1124398,46.748
Nepal,Asia,1982,15796314,718.3730947,49.594
Nepal,Asia,1987,17917180,775.6324501,52.537
Nepal,Asia,1992,20326209,897.7403604,55.727
Nepal,Asia,1997,23001113,1010.892138,59.426
Nepal,Asia,2002,25873917,1057.206311,61.34
Nepal,Asia,2007,28901790,1091.359778,63.785
Netherlands,Europe,1952,10381988,8941.571858,72.13
Netherlands,Europe,1957,11026383,11276.19344,72.99
Netherlands,Europe,1962,11805689,12790.84956,73.23
Netherlands,Europe,1967,12596822,15363.25136,73.82
Netherlands,Europe,1972,13329874,18794.74567,73.75
Netherlands,Europe,1977,13852989,21209.0592,75.24
Netherlands,Europe,1982,14310401,21399.46046,76.05
Netherlands,Europe,1987,14665278,23651.32361,76.83
Netherlands,Europe,1992,15174244,26790.94961,77.42
Netherlands,Europe,1997,15604464,30246.13063,78.03
Netherlands,Europe,2002,16122830,33724.75778,78.53
Netherlands,Europe,2007,16570613,36797.93332,79.762
New Zealand,Oceania,1952,1994794,10556.57566,69.39
New Zealand,Oceania,1957,2229407,12247.39532,70.26
